unitid,opeid8,opeid6,inst_name,state_abbr,year,inst_control,sector,fte,risk_score,enr_pct_chg_5y,enr_pct_chg_1y,discount_rate,operating_margin,tuition_dependence,composite_score,composite_zone,composite_fail,miss_finance,finance_from_parent,hcm1_current,hcm2_current,hcm2_scorecard,scorecard_operating,scorecard_under_investigation,accreditor_public_action,warn_layoff_mention,enrichment_notes,label_complete_h3,closed_or_merged_within_3_years,lib_year,lib_source,lib_physical_books,lib_digital_items,lib_expenditures,lib_fte,lib_staff_fte,lib_arl_member,lib_special_collections_note,lib_unique_flag,lib_note_url
482547,1072755,10727,DeVry University-Nevada,NV,2022,3.0,3.0,11.0,0.95066303,-0.8381393154822869,-0.6143642900499603,0.1261294687677332,-3.954239079212304,0.9814357319319692,,False,False,False,False,,False,False,1.0,0.0,,False,,False,,,,,,,,,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://library.devry.edu
233684,145901,1459,Strayer University-Virginia,VA,2022,3.0,3.0,1962.0,0.94885296,-0.5857263513513513,-0.1902600082542302,,,,,False,False,True,False,,False,False,1.0,0.0,,,,False,,2013.0,urban,18232.0,78964.0,930609.0,,,False,Web note not collected (outside top-50 / nonprofit shortlist).,False,
482459,1072712,10727,DeVry University-Florida,FL,2022,3.0,3.0,293.0,0.9484674,-0.6711560044893379,-0.397119341563786,0.0457225047441108,0.5595082185552918,0.9767412514267718,,False,False,False,False,,False,False,1.0,0.0,,,,False,,,,,,,,,False,Web note not collected (outside top-50 / nonprofit shortlist).,False,
209603,320700,3207,Pacific Northwest College of Art,OR,2022,2.0,2.0,445.0,0.9481594,-0.03470715835141,-0.0262582056892779,,,,2.2,False,False,True,False,,False,False,1.0,0.0,,False,,False,,2020.0,urban,40267.0,105.0,227054.0,0.0,3.45,False,"Named holdings on a public library page: Pacific Northwest Artists Archive; Willamette University Archives. Willamette University Archives is thrilled to launch WUpedia, a dynamic online encyclopedia Source: https://library.willamette.edu/archives/",True,https://library.willamette.edu/archives/
486965,746901,7469,Hussian College-Los Angeles,CA,2022,3.0,3.0,262.0,0.9472079,0.2476190476190476,-0.0296296296296296,,,,,False,False,True,False,,False,,,,,,,False,,2021.0,urban,,243018.0,,1.0,1.0,False,Web note not collected (outside top-50 / nonprofit shortlist).,False,
449092,3071602,30716,CBT Technology Institute-Hialeah,FL,2022,3.0,6.0,285.0,0.9461492,0.2231759656652361,-0.0206185567010309,,,,,False,False,True,False,,False,False,1.0,0.0,,,,False,,,,,,,,,False,Web note not collected (outside top-50 / nonprofit shortlist).,False,
368443,746904,7469,Hussian College-Daymar College Clarksville,TN,2022,3.0,3.0,371.0,0.9450321,-0.6425818882466281,-0.6006458557588805,,,,,False,False,True,False,,False,,,,,,,False,,2021.0,urban,,91795.0,,1.0,1.0,False,Web note not collected (outside top-50 / nonprofit shortlist).,False,
430184,145911,1459,Strayer University-Maryland,MD,2022,3.0,3.0,1125.0,0.9445524,-0.5208688245315162,-0.1007194244604317,,,,,False,False,True,False,,False,False,1.0,0.0,,,,False,,2013.0,urban,4929.0,78964.0,427247.0,,,False,Web note not collected (outside top-50 / nonprofit shortlist).,False,
498119,3083712,30837,Galen Health Institutes-Asheville,NC,2022,3.0,3.0,80.0,0.94443154,,,,,,,False,False,True,False,,False,False,1.0,0.0,,,,False,,,,,,,,,False,Web note not collected (outside top-50 / nonprofit shortlist).,False,
447351,2120706,21207,San Joaquin Valley College-Modesto,CA,2022,3.0,6.0,679.0,0.94439614,0.7017543859649122,0.0462249614791987,,,,,False,False,True,False,,False,False,1.0,0.0,,,,False,,,,,,,,,False,Web note not collected (outside top-50 / nonprofit shortlist).,False,
233082,1274400,12744,Southside College of Health Sciences,VA,2022,2.0,5.0,89.0,0.94384855,-0.1442307692307692,0.0853658536585366,,,,-0.3,False,True,False,False,,False,False,1.0,0.0,,False,,False,,2022.0,urban,271.0,36630.0,,0.4,0.4,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://www.schs.edu/students/library
498100,3083711,30837,Galen Health Institutes-Myrtle Beach,SC,2022,3.0,6.0,153.0,0.9435654,,,,,,,False,False,True,False,,False,False,1.0,0.0,,,,False,,,,,,,,,False,Web note not collected (outside top-50 / nonprofit shortlist).,False,
497790,4233901,42339,Atlantis University-Florida Palms University,FL,2022,3.0,3.0,111.0,0.9431166,,,,,,,False,False,True,False,,False,,,,,,,False,,2021.0,urban,347.0,515710.0,,0.0,1.0,False,Web note not collected (outside top-50 / nonprofit shortlist).,False,
481775,2120711,21207,San Joaquin Valley College-Lancaster,CA,2022,3.0,6.0,254.0,0.94252443,,0.0039525691699604,,,,,False,False,True,False,,False,False,1.0,0.0,,,,False,,,,,,,,,False,Web note not collected (outside top-50 / nonprofit shortlist).,False,
206279,1092300,10923,Union Institute & University,OH,2022,2.0,2.0,625.0,0.9414654,-0.3949661181026137,-0.0795287187039764,,,,2.8,False,False,True,False,,False,,,,,False,,False,,2021.0,urban,,409836.0,462713.0,2.6,2.6,False,Unknown — public website did not yield a usable library page for Union Institute & University.,False,
482565,1072751,10727,DeVry University-North Carolina,NC,2022,3.0,3.0,8.0,0.94136053,-0.8381393154822869,-0.6143642900499603,,,,,False,False,True,False,,False,,,,,,,False,,,,,,,,,False,Web note not collected (outside top-50 / nonprofit shortlist).,False,
456852,2120708,21207,San Joaquin Valley College-Hesperia,CA,2022,3.0,6.0,432.0,0.9394067,-0.505720823798627,0.1338582677165354,,,,,False,False,True,False,,False,False,1.0,0.0,,,,False,,,,,,,,,False,Web note not collected (outside top-50 / nonprofit shortlist).,False,
453163,145944,1459,Strayer University-North Carolina,NC,2022,3.0,3.0,2321.0,0.9390646,-0.4233540372670807,-0.1028218013142636,,,,,False,False,True,False,,False,False,1.0,0.0,,,,False,,2013.0,urban,9698.0,78964.0,444137.0,,,False,Web note not collected (outside top-50 / nonprofit shortlist).,False,
498076,3083708,30837,Galen Health Institutes-Sarasota,FL,2022,3.0,3.0,142.0,0.93849045,,,,,,,False,False,True,False,,False,False,1.0,0.0,,,,False,,,,,,,,,False,Web note not collected (outside top-50 / nonprofit shortlist).,False,
497125,3083707,30837,Galen Health Institutes-Nashville Campus,TN,2022,3.0,3.0,385.0,0.93847334,,1.3434313725490172,,,,,False,False,True,False,,False,False,1.0,0.0,,,,False,,,,,,,,,False,Web note not collected (outside top-50 / nonprofit shortlist).,False,
442930,3427500,34275,University of Antelope Valley,CA,2022,3.0,3.0,498.0,0.9384107,-0.6192660550458715,-0.049618320610687,,,,2.4,False,False,True,False,,False,,,,,,,False,,2021.0,urban,,390557.0,,4.0,4.0,False,Web note not collected (outside top-50 / nonprofit shortlist).,False,
107123,2330800,23308,Jefferson Regional School of Nursing,AR,2022,2.0,5.0,92.0,0.9381239,-0.0799999999999999,0.1499999999999999,1.0,,,2.9,False,False,False,False,,False,False,1.0,0.0,,False,,False,,2022.0,urban,,15480.0,,,,False,Unknown — public website did not yield a usable library page for Jefferson Regional School of Nursing.,False,
498094,3083710,30837,Galen Health Institutes-Richmond,VA,2022,3.0,6.0,297.0,0.93810624,,,,,,,False,False,True,False,,False,False,1.0,0.0,,,,False,,,,,,,,,False,Web note not collected (outside top-50 / nonprofit shortlist).,False,
193380,4237200,42372,Montefiore School of Nursing,NY,2022,2.0,5.0,74.0,0.93659765,-0.097560975609756,-0.0263157894736841,1.0,,,-0.2,False,True,False,False,,False,False,1.0,0.0,,False,,False,,2022.0,urban,,7890.0,103980.0,0.1,0.1,False,Unknown — public website did not yield a usable library page for Montefiore School of Nursing.,False,
443784,145935,1459,Strayer University-Pennsylvania,PA,2022,3.0,3.0,1009.0,0.9361829,-0.3929001203369434,-0.062267657992565,,,,,False,False,True,False,,False,False,1.0,0.0,,,,False,,2013.0,urban,8766.0,78964.0,469529.0,,,False,Web note not collected (outside top-50 / nonprofit shortlist).,False,
219295,346700,3467,Presentation College,SD,2022,2.0,2.0,615.0,0.9335273,-0.1189111747851002,0.2551020408163265,,,,2.1,False,False,True,False,,False,,,,,False,,False,,2021.0,urban,9065.0,321249.0,189172.0,2.0,7.0,False,Unknown — public website did not yield a usable library page for Presentation College.,False,
496991,3083705,30837,Galen Health Institutes-Miami Campus,FL,2022,3.0,3.0,580.0,0.9335249,,0.9528619528619529,,,,,False,False,True,False,,False,False,1.0,0.0,,,,False,,,,,,,,,False,Web note not collected (outside top-50 / nonprofit shortlist).,False,
461759,4178000,41780,Simmons College of Kentucky,KY,2022,2.0,2.0,206.0,0.9324483,0.4609929078014185,0.7606837606837606,,,,2.6,False,False,False,False,,False,False,1.0,0.0,,False,,False,,2022.0,urban,5940.0,362256.0,131219.0,1.0,2.0,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://simmonscollegeky.edu/library/about
486433,4235500,42355,Presidio Graduate School,CA,2022,2.0,2.0,98.0,0.93208474,-0.2575757575757575,-0.1403508771929824,,,,3.0,False,False,False,False,,False,,,,,False,,False,,2022.0,urban,,6004.0,,0.15,0.15,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://www.presidio.edu/students/library
454184,4095300,40953,The King's College,NY,2022,2.0,2.0,326.0,0.93200105,-0.4300699300699301,-0.1212938005390835,,,,2.4,False,False,True,False,,False,,,,,False,,False,,2021.0,urban,6000.0,230037.0,122487.0,1.0,11.0,False,Unknown — public website did not yield a usable library page for The King's College.,False,
418126,2599400,25994,New York College of Health Professions,NY,2022,2.0,2.0,229.0,0.93187475,-0.5562015503875969,-0.4113110539845758,,,,3.0,False,False,False,False,,False,False,1.0,0.0,,False,,False,,2022.0,urban,3000.0,11.0,,1.0,1.0,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://www.nycollege.edu/library
